Date,Open,High,Low,Close,Adj Close,Volume,Dayofweek,month,quarter,year,Apple,Dell,Google,Microsoft
2017-01-03,28.950000762939453,29.082500457763672,28.690000534057617,29.037500381469727,27.17475700378418,115127600,1,1,1,2017,1.0,0.0,0.0,0.0
2017-01-04,28.962499618530273,29.127500534057617,28.9375,29.0049991607666,27.144338607788086,84472400,2,1,1,2017,1.0,0.0,0.0,0.0
2017-01-05,28.979999542236328,29.21500015258789,28.952499389648438,29.15250015258789,27.28237533569336,88774400,3,1,1,2017,1.0,0.0,0.0,0.0
2017-01-06,29.19499969482422,29.540000915527344,29.11750030517578,29.477500915527344,27.58652687072754,127007600,4,1,1,2017,1.0,0.0,0.0,0.0
2017-01-09,29.487499237060547,29.857500076293945,29.485000610351562,29.747499465942383,27.839210510253906,134247600,0,1,1,2017,1.0,0.0,0.0,0.0
2017-01-10,29.6924991607666,29.844999313354492,29.575000762939453,29.77750015258789,27.867280960083008,97848400,1,1,1,2017,1.0,0.0,0.0,0.0
2017-01-11,29.684999465942383,29.982500076293945,29.649999618530273,29.9375,28.017017364501953,110354400,2,1,1,2017,1.0,0.0,0.0,0.0
2017-01-12,29.725000381469727,29.825000762939453,29.552499771118164,29.8125,27.900035858154297,108344800,3,1,1,2017,1.0,0.0,0.0,0.0
2017-01-13,29.77750015258789,29.905000686645508,29.702499389648438,29.760000228881836,27.85090446472168,104447600,4,1,1,2017,1.0,0.0,0.0,0.0
2017-01-17,29.584999084472656,30.059999465942383,29.55500030517578,30.0,28.07551383972168,137759200,1,1,1,2017,1.0,0.0,0.0,0.0
2017-01-18,30.0,30.125,29.927499771118164,29.997499465942383,28.073169708251953,94852000,2,1,1,2017,1.0,0.0,0.0,0.0
2017-01-19,29.850000381469727,30.022499084472656,29.842500686645508,29.94499969482422,28.024038314819336,102389200,3,1,1,2017,1.0,0.0,0.0,0.0
2017-01-20,30.112499237060547,30.112499237060547,29.9325008392334,30.0,28.07551383972168,130391600,4,1,1,2017,1.0,0.0,0.0,0.0
2017-01-23,30.0,30.202499389648438,29.9424991607666,30.020000457763672,28.094234466552734,88200800,0,1,1,2017,1.0,0.0,0.0,0.0
2017-01-24,29.887500762939453,30.024999618530273,29.875,29.99250030517578,28.068492889404297,92844000,1,1,1,2017,1.0,0.0,0.0,0.0
